RAJ,    10:57:53.138
DECJ,    -47:54:57.60
RAJ,    10:57:58.965
DECJ,    -52:26:56.26
RAJ,    10:57:27.4
DECJ,    -79:14:24.2
RAJ,    10:58:34.25
DECJ,    -59:57:36.4
RAJ,    10:59:00.90
DECJ,    -57:42:14.2
RAJ,    11:01:44.96
DECJ,    -61:01:39.6
RAJ,    11:01:37.1923
DECJ,    -64:24:39.332
RAJ,    11:02
DECJ,    +65:07
RAJ,    11:03:33.294
DECJ,    -54:03:43.245
RAJ,    11:03:31.48
DECJ,    -60:25:36.39
RAJ,    11:04:17.262
DECJ,    -61:03:03.88
RAJ,    11:05:24
DECJ,    -43:57:01
RAJ,    11:05:26.17
DECJ,    -61:07:51.4
RAJ,    11:06:28.44
DECJ,    -64:39:00.0
RAJ,    11:07:34.46
DECJ,    -59:07:18.7
RAJ,    11:07:58.7
DECJ,    -59:47:04
RAJ,    11:07:12.3
DECJ,    -61:43:59
RAJ,    11:10:00.40
DECJ,    -56:37:32.9
RAJ,    11:11
DECJ,    +58:52
RAJ,    11:12:14.81
DECJ,    -61:03:31.1
RAJ,    11:12:38.53
DECJ,    -66:13:04.8
RAJ,    11:12:51.0
DECJ,    -69:26:31.0
RAJ,    11:14:22.52
DECJ,    -61:00:34.2
RAJ,    11:15:38.400
DECJ,    50:30:12.29
RAJ,    11:15:53.68
DECJ,    -60:52:17.8
RAJ,    11:16:43.086
DECJ,    -41:22:43.96
RAJ,    11:17:23.81
DECJ,    -61:54:22
RAJ,    11:17:45.0
DECJ,    -64:47:58
RAJ,    11:19:14.30
DECJ,    -61:27:49.5
RAJ,    11:19:40.8
DECJ,    -79:36:30.3
RAJ,    11:20:22.40
DECJ,    -36:18:32.2
RAJ,    11:21:19.189
DECJ,    -54:44:05.5
RAJ,    11:25:58
DECJ,    +78:23
RAJ,    11:23:15.651
DECJ,    -48:44:22.75
RAJ,    11:23:41.70
DECJ,    -61:02:06.2
RAJ,    11:23:55.549
DECJ,    -62:59:10.74
